                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.64416,                0.35266,                0.90229,                0.95016,                  0.889,                0.94414,                0.74706,                0.88142,                0.46569,                 1.0198,             0.00018582,             0.00018582,             0.00018582
                     86,                0.64185,                0.35195,                0.90502,                0.94262,                0.89383,                0.94412,                0.74392,                0.88448,                  0.465,                 1.0218,             0.00018306,             0.00018306,             0.00018306
                     87,                0.63623,                0.35097,                 0.9034,                0.95673,                0.88879,                0.94587,                0.74082,                 0.8824,                0.46271,                 1.0251,             0.00018031,             0.00018031,             0.00018031
                     88,                0.63379,                0.34705,                0.89858,                0.95298,                0.88493,                0.94729,                0.74554,                0.88752,                0.46119,                 1.0202,             0.00017756,             0.00017756,             0.00017756
                     89,                0.63267,                0.34602,                0.90031,                0.95113,                0.87487,                0.94814,                0.74696,                0.88249,                0.45019,                 1.0177,             0.00017481,             0.00017481,             0.00017481
                     90,                0.62328,                0.34166,                0.89876,                0.95242,                0.88869,                0.94534,                0.74588,                0.88074,                0.46255,                 1.0251,             0.00017205,             0.00017205,             0.00017205
                     91,                0.62761,                0.34077,                0.89433,                0.95296,                0.88911,                0.94622,                0.74782,                0.88082,                0.46489,                 1.0198,              0.0001693,              0.0001693,              0.0001693
                     92,                0.62182,                0.33936,                0.89637,                0.95257,                0.89289,                0.94512,                 0.7459,                0.88253,                 0.4688,                 1.0255,             0.00016655,             0.00016655,             0.00016655
                     93,                0.61943,                0.33839,                0.89556,                0.94776,                0.88866,                 0.9444,                0.74584,                0.87943,                 0.4644,                 1.0232,              0.0001638,              0.0001638,              0.0001638
                     94,                0.61623,                0.33893,                0.89244,                0.94445,                0.88155,                0.94407,                0.74703,                0.87885,                0.46477,                 1.0271,             0.00016105,             0.00016105,             0.00016105
                     95,                0.61721,                0.34009,                0.89406,                0.95212,                0.88588,                0.94583,                0.74664,                0.87175,                0.47007,                 1.0213,             0.00015829,             0.00015829,             0.00015829
                     96,                 0.6129,                0.33953,                0.89492,                0.93507,                0.89808,                0.94556,                0.75048,                0.87729,                0.44992,                 1.0268,             0.00015554,             0.00015554,             0.00015554
                     97,                0.60838,                0.33406,                0.89257,                0.96186,                0.87435,                0.94647,                0.75426,                0.87341,                0.45428,                 1.0224,             0.00015279,             0.00015279,             0.00015279
                     98,                0.61013,                0.33305,                0.89317,                0.94631,                0.88556,                0.94647,                0.75061,                0.87004,                0.45273,                 1.0218,             0.00015004,             0.00015004,             0.00015004
